Title,Description,Status,Priority,Estimate,Labels,Project,Milestone,Epic,Issue Type
Build patient timeline,"User story:
As a user, I want a timeline of diagnosis, reports, and treatments.

Acceptance criteria:
- Timeline combines patient, report, and treatment events.
- Events are sorted by date.
- Events are color-coded by type.
- Missing dates are handled gracefully.

Tasks:
- Create PatientTimeline.
- Add diagnosis event.
- Add report events.
- Add treatment events.
- Add follow-up events.
- Sort chronologically.
- Add event icons and colors.",Backlog,High,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 6: Treatments and Timeline,Treatment Management,Feature
Build treatment comparison API,"User story:
As a user, I want AI-assisted comparison of treatment options.

Acceptance criteria:
- User can compare up to 5 treatment options.
- Claude returns valid JSON.
- Output includes disclaimer.
- Output is clearly not a medical directive.

Tasks:
- Create POST /api/ai/compare-treatments.
- Validate max 5 options.
- Fetch patient context.
- Call Claude comparison prompt.
- Parse JSON response.
- Validate response schema.
- Return scores and recommendation.
- Include disclaimer.",Backlog,High,5,"area:backend, area:ai, medical-safety, mvp",RadReport AI,Milestone 6: Treatments and Timeline,Treatment Comparison AI,Feature
Build treatment comparison UI,"User story:
As a user, I want to enter treatment options and compare them visually.

Acceptance criteria:
- User can add up to 5 options.
- Comparison results render clearly.
- Disclaimer appears above AI output.
- Highest score is highlighted.

Tasks:
- Create TreatmentComparison.
- Add option inputs.
- Add compare button.
- Add loading state.
- Add error state.
- Render result cards.
- Render disclaimer above output.",Backlog,High,5,"area:frontend, area:ai, medical-safety, mvp",RadReport AI,Milestone 6: Treatments and Timeline,Treatment Comparison AI,Feature
Build treatment comparison charts,"User story:
As a user, I want visual charts for treatment comparison results.

Acceptance criteria:
- Scores render visually.
- Benefits/risks are readable.
- Duration and side effects are easy to compare.

Tasks:
- Create TreatmentComparisonCharts.
- Add score chart.
- Add scored cards.
- Add efficacy section.
- Add side effect section.
- Add duration comparison.",Backlog,Medium,3,"area:frontend, area:analytics, post-mvp",RadReport AI,Post-MVP,Treatment Comparison AI,Feature
Build consolidated report analysis API,"User story:
As a user, I want multiple reports for a patient summarized together.

Acceptance criteria:
- API fetches completed reports for one patient.
- Claude summarizes progression and concerning patterns.
- Output includes recommendations and caution language.

Tasks:
- Create POST /api/ai/consolidate-reports.
- Verify patient ownership.
- Fetch completed reports.
- Fetch patient data.
- Call Claude consolidation prompt.
- Return consolidated analysis.",Backlog,High,5,"area:backend, area:ai, medical-safety, mvp",RadReport AI,Milestone 7: Consolidation,Consolidated Report Analysis,Feature
Add deterministic trend detection,"User story:
As a user, I want obvious changes across reports highlighted by code, not only AI.

Acceptance criteria:
- BI-RADS changes are calculated deterministically.
- New red flags are detected.
- Resolved findings are detected when possible.
- Risk increase is highlighted.

Tasks:
- Compare reports chronologically.
- Calculate BI-RADS trend.
- Detect highest BI-RADS.
- Detect new red flags.
- Detect recurring findings.
- Detect resolved findings where possible.
- Return trend metadata to frontend.",Backlog,High,5,"area:backend, area:ai, medical-safety, mvp",RadReport AI,Milestone 7: Consolidation,Consolidated Report Analysis,Feature
Build consolidated report modal,"User story:
As a user, I want a modal summarizing all reports for a patient.

Acceptance criteria:
- Modal shows aggregate report stats.
- Modal shows deterministic trends.
- Modal shows Claude summary.
- Modal allows JSON export.

Tasks:
- Create ConsolidatedView.
- Show total reports.
- Show latest BI-RADS.
- Show highest BI-RADS.
- Show red flag count.
- Show trend warnings.
- Show AI summary.
- Show report index.
- Add export JSON action.",Backlog,High,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 7: Consolidation,Consolidated Report Analysis,Feature
Build analytics dashboard,"User story:
As a user, I want analytics across my patient population.

Acceptance criteria:
- Dashboard shows summary stats.
- Charts render correctly.
- Data is scoped to authenticated user.
- Empty states exist.

Tasks:
- Create PatientAnalytics.
- Add summary cards.
- Add Demographics, Diagnostic, and Treatment chart tabs.
- Add Recharts components.
- Add loading and empty states.",Backlog,Medium,8,"area:frontend, area:analytics, post-mvp",RadReport AI,Post-MVP,Analytics,Feature
Add analytics filters,"User story:
As a user, I want to filter analytics so charts are actually useful.

Acceptance criteria:
- Analytics can be filtered by date range.
- Analytics can be filtered by cancer stage.
- Analytics can be filtered by treatment type.
- Filters affect all charts.

Tasks:
- Add date range filter.
- Add cancer stage filter.
- Add treatment type filter.
- Wire filters to queries.
- Add clear filters action.",Backlog,Medium,5,"area:frontend, area:analytics, post-mvp",RadReport AI,Post-MVP,Analytics,Feature
Create audit logs table,"User story:
As a system owner, I want sensitive actions logged for accountability.

Acceptance criteria:
- Audit table exists.
- User actions can be recorded.
- Audit logs do not expose PHI unnecessarily.
- Logs are protected by RLS/admin access.

Tasks:
- Create audit_logs table.
- Add id, user_id, action, resource_type, resource_id, metadata, created_at.
- Enable RLS.
- Add admin-only read policy.
- Add insert policy for backend service role.",Backlog,Urgent,3,"area:database, area:security, privacy, compliance, mvp",RadReport AI,Milestone 8: Security and Compliance Readiness,Audit Logging,Feature
Log sensitive user actions,"User story:
As a system owner, I want sensitive patient/report actions recorded.

Acceptance criteria:
- Uploads are logged.
- Report views are logged.
- Deletes are logged.
- Patient changes are logged.
- AI processing is logged.

Tasks:
- Create auditService.
- Log patient create/update/delete.
- Log report upload.
- Log report view.
- Log report delete.
- Log PDF signed URL generation.
- Log AI processing start/success/failure.
- Log treatment create/update/delete.",Backlog,Urgent,5,"area:backend, area:security, privacy, compliance, mvp",RadReport AI,Milestone 8: Security and Compliance Readiness,Audit Logging,Feature
Add PHI-safe application logging,"User story:
As a developer, I want useful logs without exposing patient data.

Acceptance criteria:
- Raw PDF text is never logged.
- Claude prompts are never logged.
- JWT/session tokens are never logged.
- Sensitive fields are redacted.

Tasks:
- Add logger utility.
- Define redaction rules.
- Redact patient names.
- Redact raw report text.
- Redact tokens.
- Redact Claude request bodies.
- Add error IDs.",Backlog,Urgent,3,"area:backend, area:security, privacy, compliance, mvp",RadReport AI,Milestone 8: Security and Compliance Readiness,PHI-Safe Logging and Privacy,Feature
Add de-identification mode before Claude calls,"User story:
As a user, I want patient identifiers stripped before text is sent to Claude.

Acceptance criteria:
- Obvious identifiers are removed or replaced.
- Original raw text remains private in database.
- De-identified text is sent to Claude.
- Extraction still works after de-identification.

Tasks:
- Create de-identification service.
- Remove patient names.
- Remove DOB.
- Remove MRNs if present.
- Remove phone numbers.
- Remove addresses.
- Remove emails.
- Replace identifiers with placeholders.
- Store de-identification metadata.
- Send only de-identified text to Claude.
- Add tests for common PHI patterns.",Backlog,High,8,"area:ai, area:security, privacy, medical-safety, mvp",RadReport AI,Milestone 8: Security and Compliance Readiness,PHI-Safe Logging and Privacy,Feature
Export report extraction JSON,"User story:
As a user, I want to export structured report extraction data.

Acceptance criteria:
- User can export one report as JSON.
- Export only works for owned reports.
- Export includes extraction fields and verification metadata.

Tasks:
- Create export endpoint.
- Verify report ownership.
- Return JSON payload.
- Add frontend export button.
- Download JSON file.",Backlog,Medium,3,"area:frontend, area:backend, post-mvp",RadReport AI,Post-MVP,Data Export,Feature
Export patient data bundle,"User story:
As a user, I want to export a patient’s structured data.

Acceptance criteria:
- Export includes patient, reports, treatments, and consolidated analysis.
- Export excludes private PDF binary files by default.
- Export is scoped to owned patient only.

Tasks:
- Create patient export endpoint.
- Fetch patient.
- Fetch reports.
- Fetch treatments.
- Include AI summaries.
- Add frontend export action.
- Download JSON file.",Backlog,Medium,5,"area:frontend, area:backend, privacy, post-mvp",RadReport AI,Post-MVP,Data Export,Feature
Export analytics CSV,"User story:
As a user, I want analytics exported as CSV.

Acceptance criteria:
- User can export analytics data.
- CSV respects active filters.
- CSV contains no unauthorized data.

Tasks:
- Create analytics export endpoint.
- Add CSV generation utility.
- Apply filters.
- Add frontend export button.",Backlog,Medium,3,"area:analytics, post-mvp",RadReport AI,Post-MVP,Data Export,Feature
Build admin system health dashboard,"User story:
As an admin, I want to monitor system usage and failures.

Acceptance criteria:
- Only admins can access dashboard.
- Dashboard shows processing stats.
- Dashboard shows recent failures.
- Dashboard shows usage metrics.

Tasks:
- Add admin route guard.
- Create admin dashboard page.
- Show total users.
- Show total reports.
- Show failed reports.
- Show average processing time.
- Show recent audit events.
- Show AI failure rate.",Backlog,Medium,8,"area:frontend, area:backend, area:security, post-mvp",RadReport AI,Post-MVP,Admin Dashboard,Feature
Build admin user management,"User story:
As an admin, I want to view users and roles.

Acceptance criteria:
- Admin can view users.
- Admin can view profile roles.
- Admin can update user role if allowed.
- Non-admins cannot access user management.

Tasks:
- Create admin users endpoint.
- Add admin RLS/service checks.
- Create users table UI.
- Add role update action.
- Add audit logging for role changes.",Backlog,Medium,5,"area:frontend, area:backend, area:security, post-mvp",RadReport AI,Post-MVP,Admin Dashboard,Feature
Add organization data model,"User story:
As a clinic/team, we want multiple users to share patient records securely.

Acceptance criteria:
- Organizations exist.
- Users can belong to organizations.
- Patients can belong to organizations.
- Access is role-based.

Tasks:
- Create organizations table.
- Create organization_members table.
- Add owner/admin/clinician/viewer roles.
- Add organization_id to patients.
- Update RLS policies.
- Update queries to support organization scope.",Backlog,Medium,8,"area:database, area:security, post-mvp",RadReport AI,Post-MVP,Organization and Team Support,Feature
Add team sharing permissions,"User story:
As an organization admin, I want to control who can access shared patient data.

Acceptance criteria:
- Admins can invite users.
- Members can access permitted records.
- Viewers cannot mutate data.
- Sharing events are audited.

Tasks:
- Add invite flow.
- Add member list.
- Add role management.
- Add permission checks.
- Add audit logs.
- Add frontend team settings page.",Backlog,Medium,8,"area:backend, area:frontend, area:security, post-mvp",RadReport AI,Post-MVP,Organization and Team Support,Feature
Implement app layout and navigation,"User story:
As a user, I want consistent navigation across the app.

Acceptance criteria:
- Layout uses sticky nav.
- User dropdown works.
- Navigation is responsive.
- Logout is available.

Tasks:
- Create Layout.
- Add sticky nav.
- Add logo.
- Add user dropdown.
- Add nav links.
- Add mobile nav.
- Add logout action.",Backlog,Urgent,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 9: App Polish,Core Frontend Design System,Feature
Implement light/dark mode,"User story:
As a user, I want light and dark mode support.

Acceptance criteria:
- Theme toggle works.
- Theme persists.
- shadcn/ui components support both themes.
- Charts remain readable.

Tasks:
- Configure Tailwind dark mode.
- Configure shadcn theme.
- Add theme provider.
- Add theme toggle.
- Test core pages in both themes.",Backlog,High,3,"area:frontend, area:ux, mvp",RadReport AI,Milestone 9: App Polish,Core Frontend Design System,Feature
Build Home dashboard,"User story:
As a user, I want a home dashboard for quick upload and report review.

Acceptance criteria:
- Dashboard shows stats.
- Patient selector works.
- Upload is available.
- Recent reports are visible.

Tasks:
- Create Home.
- Add stat cards.
- Add patient selector.
- Add FileDropzone.
- Add ReportsList.
- Add recent activity.
- Add empty state.",Backlog,Urgent,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 9: App Polish,Core Frontend Design System,Feature
Build HowTo and medical disclaimer page,"User story:
As a user, I want guidance on using the app safely.

Acceptance criteria:
- HowTo page explains app usage.
- Medical disclaimer is prominent.
- AI limitations are clear.
- Page uses accordion sections.

Tasks:
- Create HowTo.
- Add upload guide.
- Add BI-RADS explanation.
- Add evidence quote explanation.
- Add AI limitation section.
- Add treatment comparison warning.
- Add privacy explanation.",Backlog,High,3,"area:frontend, medical-safety, mvp",RadReport AI,Milestone 9: App Polish,Core Frontend Design System,Feature
Build Axios API client,"User story:
As a frontend developer, I want a reusable API client.

Acceptance criteria:
- API base URL is configured.
- Supabase access token is attached.
- 401s are handled.
- Errors are normalized.

Tasks:
- Create services/api.ts.
- Attach Supabase access token.
- Add response interceptor.
- Handle 401.
- Normalize errors.
- Export typed helpers.",Backlog,Urgent,3,"area:frontend, mvp",RadReport AI,Milestone 9: App Polish,API Client and State Management,Feature
Configure React Query,"User story:
As a user, I want data fetching to feel fast and reliable.

Acceptance criteria:
- React Query provider is configured.
- Query keys are organized.
- Mutations invalidate relevant data.

Tasks:
- Add React Query provider.
- Create query key factory.
- Create usePatients.
- Create useReports.
- Create useTreatments.
- Add mutation invalidation.",Backlog,Urgent,3,"area:frontend, mvp",RadReport AI,Milestone 9: App Polish,API Client and State Management,Feature
Add shared types package,"User story:
As a developer, I want shared types between frontend and backend.

Acceptance criteria:
- Shared package exists.
- Common types are imported by both apps.
- API response types are consistent.
- Type duplication is reduced.

Tasks:
- Create packages/shared.
- Add Patient type.
- Add Report type.
- Add Treatment type.
- Add AI extraction types.
- Add enum constants.
- Update backend imports.
- Update frontend imports.",Backlog,High,5,"area:infra, area:frontend, area:backend, mvp",RadReport AI,Milestone 9: App Polish,API Client and State Management,Feature
Add backend API tests,"User story:
As a developer, I want backend tests for critical flows.

Acceptance criteria:
- Auth middleware is tested.
- Patient CRUD is tested.
- Report upload validation is tested.
- Claude calls are mocked.
- RLS assumptions are covered where possible.

Tasks:
- Add test framework.
- Test protected route behavior.
- Test patient CRUD.
- Test treatment CRUD.
- Test PDF upload validation.
- Test duplicate prevention.
- Mock Claude service.
- Mock Supabase where needed.",Backlog,High,8,"area:backend, mvp",RadReport AI,Milestone 10: Testing,Testing and QA,Feature
Add frontend tests,"User story:
As a developer, I want frontend tests for key user flows.

Acceptance criteria:
- Auth pages are tested.
- Patient form is tested.
- File dropzone validation is tested.
- Report card rendering is tested.

Tasks:
- Add React Testing Library.
- Test login form.
- Test register form.
- Test patient form.
- Test file dropzone.
- Test report card.
- Test treatment comparison form.",Backlog,High,5,"area:frontend, mvp",RadReport AI,Milestone 10: Testing,Testing and QA,Feature
Add Playwright E2E tests,"User story:
As a developer, I want end-to-end tests for the core app journey.

Acceptance criteria:
- User can register/login.
- User can create patient.
- User can upload report.
- User can view processed result.
- User can add treatment.

Tasks:
- Add Playwright.
- Create test user setup.
- Test register/login.
- Test create patient.
- Test upload PDF.
- Test report detail.
- Test add treatment.
- Test logout.",Backlog,High,8,"area:frontend, area:backend, mvp",RadReport AI,Milestone 10: Testing,Testing and QA,Feature
Create manual QA checklist,"User story:
As a developer, I want a repeatable checklist before release.

Acceptance criteria:
- QA checklist covers core flows.
- Security checks are included.
- AI failure cases are included.
- Mobile and dark mode checks are included.

Tasks:
- Add QA checklist doc.
- Include auth checks.
- Include patient CRUD checks.
- Include PDF upload checks.
- Include AI processing checks.
- Include failed report checks.
- Include dark mode checks.
- Include mobile checks.
- Include PHI logging checks.",Backlog,High,2,"area:ux, medical-safety, mvp",RadReport AI,Milestone 10: Testing,Testing and QA,Feature
